2016,-0.3180395912938907
2015,0.69419123588689569
2014,0.81177082245721588
2013,0.8676874673110776
2012,0.90881515180484407
2011,0.92313918774249171
2010,0.92471872319733239
2009,0.9271178452165193
2008,0.91581980778670469
2007,0.8988620706717938
2006,0.77735118302200745
2005,0.69508847126628781
2004,0.23795648023709398
2003,-0.094141520903463768
2002,-0.28893745733841264
2001,-0.4125353610266777
2000,-0.4615248664820128
1999,-0.45053540141535908
1998,-0.4540226226975031
1997,-0.44603042792758824
1996,-0.41913389366478193
1995,-0.41741402441789593
1992,-0.33069084398351606
