2016,0.32302723498370978
2015,0.66913423220271351
2014,0.41829558632293651
2013,0.78710135477683563
2012,0.85571574891711921
2011,0.87200500098435352
2010,0.54648989604180798
2009,0.5804388170183401
2008,0.62792292452043674
2007,0.52184422604860525
2006,0.41343587229017492
2005,0.14682005845227225
2004,-0.28210638831833945
2003,-0.47168570838482093
2002,-0.59050380929893931
2001,-0.62104034414227394
2000,-0.50584797903854195
1999,-0.5292855089555254
1998,-0.52802239451245869
1997,-0.49580782635414289
1996,-0.46660983703556397
1995,-0.44295485407982249
1994,-0.42380696245047805
1993,-0.39246994602416074
1992,-0.37707141531683641
1991,-0.35503327314492239
